ZAE000028296;TRWKF;Truworths International
DE000A2NB650;MUX-DE;Mutares
DE000DWS1007;DWS-FF;DWS Group
IT0003132476;EIPAF;Eni
DE000DTR0CK8;DTGHF;Daimler Truck
DE000TRAT0N7;TRATF;Traton
US9311421039;WMT;Walmart
IT0003128367;ESOCF;ENEL
JE00B4T3BW64;GLCNF;Glencore PLC
US75574U1016;RC;Ready Capital Corp
NO0010063308;TELNF;Telenor
AU000000BOQ8;BKQNF;Bank of Queensland Aktie
US02079K3059;GOOGL;Alphabet Inc Class A
US78440X8873;SLG;SL Green Realty
NL0011872643;ASRRF;ASR NEDERLAND NV
AU000000FMG4;FSUMF;FORTESCUE METALS GRP LTD
GB0002634946;BAESF;BAE Systems
US2538681030;DLR;Digital Realty Trust
US1011211018;BXP;Boston Properties
US49446R1095;KIM;Kimco Realty Corp
US3755581036;GILD;GILEAD SCIENCES INC.
CA8667961053;SLF;SUN LIFE FINANCIAL INC
GB0008706128;LLDTF;LLOYDS BKG GRP
FR0010208488;ENGQF;Engie SA
US66987V1098;NVS;Novartis
US9182041080;VFC;V.F. Corp
US1729674242;C;Citigroup Inc
CA8911605092;TD;Toronto-Dominion Bank
US9047677045;UL;Unilever PLC
US9047678035;UL;Unilever PLC
US0865161014;BBY;Best Buy Co
US6680743050;NWE;NorthWestern Corp
US66765N1054;NWN;Northwest Natural Holding Co
US7443201022;PRU;Prudential Financial
US6512291062;NWL;Newell Brands Inc
US5021751020;LTC;LTC Properties Inc
BMG540501027;LAZ;LAZARD LTD
US9598021098;WU;Western Union Company
NL0009434992;LYB;LyondellBasell Industries
US6673401039;NWBI;Northwest Bancshares Inc
US58463J3041;MPW;MEDICAL PROPERTIES TRU
CA56501R1064;MFC;MANULIFE FINANCIAL COR
US84265V1052;SCCO;SOUTHERN COPPER CORPOR
US2605571031;DOW;DOW INC. COMMON STOCK
US8740602052;TAK;TAKEDA PHARMACEUTICAL
US5246601075;LEG;LEGGETT & PLATT INCOR
